rank,corpus_lemma,count,per_million,source_id
131,а́-хь-ра,8396,778.6,SRC-010
132,а-дуне́и,8260,766.0,SRC-010
133,а-ша-ра́,8072,748.6,SRC-010
134,а-р:ба-ра́,8055,747.0,SRC-010
135,а-шәҟәы́,8052,746.7,SRC-010
136,а́рҭ,7966,738.8,SRC-010
137,а́ҳ,7868,729.7,SRC-010
138,ара́,7822,725.4,SRC-010
139,даҽа́,7753,719.0,SRC-010
140,а́-с-ра,7744,718.2,SRC-010
141,а-и-ра́,7729,716.8,SRC-010
142,а́-да,7722,716.1,SRC-010
143,а-зы·ҧш-ра́,7628,707.4,SRC-010
144,а-ҳәынҭқа́рра,7501,695.6,SRC-010
145,а́-мч,7494,695.0,SRC-010
146,а́-ҩ-ра,7475,693.2,SRC-010
147,ма́п,7439,689.9,SRC-010
148,а́а·на·га-ра,7406,686.8,SRC-010
149,а́цәажәа-ра,7389,685.3,SRC-010
150,акы́р,7360,682.6,SRC-010
151,а́-д·гыла-ра,7346,681.3,SRC-010
152,а́-д·кыла-ра,7328,679.6,SRC-010
153,а-ҽы́,7303,677.3,SRC-010
154,у́сҟан,7289,676.0,SRC-010
155,а-р:к-ра́,7267,673.9,SRC-010
156,а-ҟы́нтә,7228,670.3,SRC-010
157,а-у́,7218,669.4,SRC-010
158,а́-л·х-ра,7196,667.4,SRC-010
159,а-ҭа́·ла-ра,7172,665.1,SRC-010
160,џьара́,7159,663.9,SRC-010
161,ма́,7136,661.8,SRC-010
162,бара́,7122,660.5,SRC-010
163,а-з·ҧш-ра́,7108,659.2,SRC-010
164,а́-ҧхьа-ра,7095,658.0,SRC-010
165,а-машьы́на,7048,653.6,SRC-010
166,а́-қалақь,7014,650.5,SRC-010
167,а-з·хәы́ц-ра,7002,649.4,SRC-010
168,а-гәра́,6967,646.1,SRC-010
169,а́-фа-ра,6962,645.7,SRC-010
170,а-хаҭа́,6892,639.2,SRC-010
171,а-у́сура,6858,636.0,SRC-010
172,аиҳабы́,6806,631.2,SRC-010
173,а́-қә·ла-ра,6740,625.1,SRC-010
174,а́ан·кыла-ра,6704,621.7,SRC-010
175,а-цәа́,6703,621.6,SRC-010
176,а́-мца,6646,616.3,SRC-010
177,а-мшы́н,6630,614.9,SRC-010
178,а-хәы́ц-ра,6623,614.2,SRC-010
179,а-з·у-ра́,6584,610.6,SRC-010
180,а-р:ҳәа-ра́,6550,607.4,SRC-010
