rank,lemma,pos,freq,per_million,n_wordforms
160,атәы,PP,3259,501.8,1
161,рҳәеит,V,3255,501.2,2
162,шаҟа,Pron,3244,499.5,1
163,Аҳәынҭқарра,Noun,3238,498.6,1
164,Мап,Adv,3226,496.7,1
165,аҽны,Noun,3218,495.5,1
166,иаб,Noun,3060,471.1,1
167,жәлар,Noun,3057,470.7,1
168,абарҭ,Pron,3038,467.8,4
169,змоу,V,3021,465.1,1
170,аҧсҭазаара,Noun,2985,459.6,1
171,иҧҳәыс,Noun,2985,459.6,1
172,ашҭа,Noun,2960,455.8,1
173,ашәҟәы,Noun,2952,454.5,1
174,амра,Noun,2950,454.2,1
175,иеиҧш,PP,2945,453.4,1
176,иакәын,V,2908,447.7,1
177,иҟалаз,V,2901,446.7,1
178,ицеит,V,2890,445.0,2
179,егьи,Pron,2884,444.0,1
180,аҷкәын,Noun,2882,443.7,1
181,уаҩ,Noun,2881,443.6,2
182,Аҧсныпресс,Noun,2877,443.0,1
183,ахәыҷқәа,Noun,2864,441.0,1
184,Аҧсуа,Adj,2835,436.5,2
185,ҳа,Prt,2810,432.7,1
186,ыҟоуп,V,2807,432.2,1
187,аҟнытә,PP,2800,431.1,1
188,Зегьы,Pron,2787,429.1,1
189,иан,Noun,2759,424.8,1
190,ани,Pron,2754,424.0,3
191,аҧҳәыс,Noun,2726,419.7,1
192,ракәын,V,2703,416.2,1
193,ҿааиҭит,V,2702,416.0,1
194,уаҟа,Adv,2701,415.9,1
195,ада,PP,2700,415.7,2
196,ақыҭа,Noun,2684,413.3,1
197,аусура,Noun,2663,410.0,2
198,заҵәык,Adv,2642,406.8,1
199,аҧхьа,PP,2637,406.0,1
200,Саргьы,Pron,2627,404.5,1
201,еснагь,Adv,2626,404.3,1
202,избанзар,Cj,2624,404.0,1
203,аҟынӡа,PP,2604,400.9,1
204,Абар,Adv,2595,399.6,2
205,Урыстәыла,Noun,2577,396.8,1
206,акәзар,V,2577,396.8,1
207,даҿын,V,2562,394.5,1
208,дааит,V,2561,394.3,3
209,ашкол,Noun,2548,392.3,1
210,ҟалап,V,2539,390.9,1
211,дад,Noun,2518,387.7,2
212,сҳәеит,V,2510,386.5,2
213,акәым,V,2501,385.1,1
214,араҟа,Adv,2481,382.0,2
215,Шәара,Pron,2466,379.7,1
216,агәашә,Noun,2445,376.5,1
217,иаҿын,V,2439,375.5,1
218,угәы,Noun,2435,374.9,1
219,Убас,Adv,2423,373.1,1
220,агәы,Noun,2414,371.7,1
221,аиҧш,PP,2411,371.2,1
222,иажәа,Noun,2394,368.6,1
223,акәымкәа,V,2365,364.1,1
224,лҳәан,V,2358,363.1,2
225,хәыҷык,Adj,2355,362.6,2
226,мамзаргьы,Cj,2345,361.1,1
227,ауаҩ,Noun,2328,358.4,2
228,Уаҳа,Adv,2327,358.3,1
229,амашьына,Noun,2299,354.0,1
230,абна,Noun,2295,353.4,1
231,иман,V,2280,351.1,1
232,иблақәа,Noun,2276,350.4,2
233,Арахь,Adv,2268,349.2,1
234,ҩыџьа,Num,2257,347.5,1
235,иҿынеихеит,V,2242,345.2,1
236,ҟалоит,V,2227,342.9,1
237,змаз,V,2215,341.0,1
238,азин,Noun,2212,340.6,1
239,сыҟоуп,V,2206,339.7,1
240,аусқәа,Noun,2178,335.3,2
241,ашҟа,PP,2138,329.2,1
242,иажәақәа,Noun,2128,327.6,1
243,дуқәа,Adj,2128,327.6,2
244,Бара,Pron,2116,325.8,2
245,Зегь,Pron,2113,325.3,1
246,иҩызцәа,Noun,2111,325.0,1
247,Избан,Pron,2108,324.6,2
248,Дара,Pron,2107,324.4,2
249,ажәақәа,Noun,2101,323.5,1
250,ииҳәаз,V,2081,320.4,2
251,аҭагылазаашьа,Noun,2072,319.0,1
252,аҵла,Noun,2067,318.3,2
253,дыҟоуп,V,2064,317.8,1
254,ыҟан,V,2063,317.6,1
255,Чагә,Noun,2062,317.5,1
256,Амра,Noun,2059,317.0,2
257,заҟа,Pron,2056,316.6,1
258,ахаҵа,Noun,2049,315.5,3
259,анакәха,V,2046,315.0,1
260,изы,PP,2038,313.8,2
261,иҧа,Noun,2034,313.2,1
262,ибла,Noun,2025,311.8,2
263,уажә,Adv,2024,311.6,1
264,ихаҭа,Adv,2022,311.3,1
265,нан,Noun,2022,311.3,1
266,иаҧхьа,PP,2020,311.0,1
267,уаха,Adv,2019,310.9,1
268,хара,Adv,2016,310.4,1
269,арҧыс,Noun,1986,305.8,2
270,ҧҳәыс,Noun,1985,305.6,2
271,ашьха,Noun,1978,304.6,1
272,аҧсы,Noun,1970,303.3,1
273,Леуанти,Noun,1968,303.0,1
274,аҟынтә,PP,1960,301.8,1
275,аҭоурых,Noun,1947,299.8,2
276,ашәа,Noun,1937,298.2,1
277,астол,Noun,1923,296.1,1
278,Зны,Adv,1922,295.9,2
279,Ара,Adv,1919,295.5,1
280,Уажәшьҭа,Adv,1918,295.3,1
281,аӡҕаб,Noun,1916,295.0,1
282,анышә,Noun,1893,291.5,3
283,аҧшәма,Noun,1887,290.5,1
284,иманы,V,1886,290.4,1
285,араион,Noun,1876,288.8,1
286,рацәак,Adj,1867,287.5,1
287,хыхь,Adv,1867,287.5,3
288,ихьӡ,Noun,1865,287.2,1
289,нахыс,Adv,1860,286.4,2
290,С.,Noun,1858,286.1,1
291,ашьшьыҳәа,Adv,1856,285.8,1
292,Насгьы,Adv,1851,285.0,1
293,ҧсыхәа,Noun,1848,284.5,1
294,Сасрыҟәа,Noun,1843,283.8,1
295,Ҳаи,Interj,1834,282.4,1
296,адәы,Noun,1822,280.5,1
297,сҭахуп,V,1817,279.8,3
298,аҧсабара,Noun,1813,279.1,1
299,рҟынӡа,PP,1810,278.7,1
300,Саб,Noun,1809,278.5,1
301,ажәабжь,Noun,1807,278.2,1
302,аурыс,Adj,1807,278.2,2
303,баша,Adv,1802,277.5,3
304,рҳәан,V,1783,274.5,3
305,аҟынтәи,PP,1775,273.3,2
306,ицон,V,1771,272.7,1
307,абар,Adv,1769,272.4,3
308,аҳәынҭқарра,Noun,1767,272.1,1
309,апоет,Noun,1766,271.9,1
310,Иисус,Noun,1764,271.6,1
311,ахаҳә,Noun,1761,271.1,1
312,уажәраанӡа,Adv,1755,270.2,1
313,ар,Noun,1750,269.4,1
314,Аҧснытәи,Adj,1743,268.4,3
315,знык,Adv,1739,267.8,1
316,Асҭамыр,Noun,1736,267.3,1
317,Қырҭтәыла,Noun,1735,267.1,1
318,иазгәеиҭеит,V,1731,266.5,1
319,Абарҭ,Pron,1730,266.4,2
320,соуп,V,1729,266.2,1
321,акәхарын,V,1728,266.1,1
322,ибеит,V,1727,265.9,1
323,ҟаиҵеит,V,1726,265.8,1
324,азыҳәан,PP,1723,265.3,1
325,раҧхьаӡа,Adv,1723,265.3,1
326,рышьҭахь,PP,1717,264.4,1
327,лнапы,Noun,1716,264.2,1
328,еиҭа,Adv,1715,264.1,1
329,Ас,Adv,1691,260.4,1
330,аҵыхәтәантәи,Adj,1690,260.2,2
331,ҿыц,Adv,1687,259.7,1
332,убра,Adv,1679,258.5,1
333,Ажәлар,Noun,1672,257.4,1
334,Платон,Noun,1657,255.1,1
335,аҧсшәа,Noun,1652,254.4,1
336,Убасҟан,Adv,1650,254.1,1
337,лыбжьы,Noun,1638,252.2,2
338,Шьҭа,Adv,1634,251.6,3
339,ақырҭуа,Adj,1632,251.3,1
340,ҵаҟа,Adv,1632,251.3,1
341,даараӡа,Adv,1624,250.0,3
342,рҟны,PP,1623,249.9,1
